timestamp,dpid,port,rx_mbps,hits,blocked,action
1788102529.643335,1,1,0.003,0,0,
1788102531.644027,1,1,0.000,0,0,
1788102533.644529,1,1,0.000,0,0,
1788102535.645328,1,1,0.001,0,0,
1788102539.361927,1,1,0.000,0,0,
1788102541.363091,1,1,0.000,0,0,
1788102543.364595,1,1,0.000,0,0,
1788102545.366567,1,1,0.000,0,0,
1788102547.368253,1,1,0.000,0,0,
1788102549.369785,1,1,0.000,0,0,
1788102551.370705,1,1,0.000,0,0,
1788102553.371366,1,1,0.000,0,0,
1788102555.372479,1,1,0.000,0,0,
1788102557.374441,1,1,0.000,0,0,
1788102559.374480,1,1,0.000,0,0,
1788102561.375727,1,1,0.000,0,0,
1788102563.377941,1,1,0.000,0,0,
1788102565.379424,1,1,0.000,0,0,
1788102567.381076,1,1,0.000,0,0,
1788102569.382169,1,1,0.000,0,0,
1788102573.098920,1,1,0.000,0,0,
1788102575.099315,1,1,0.000,0,0,
1788102577.100898,1,1,0.000,0,0,
1788102579.102507,1,1,0.000,0,0,
1788102581.103951,1,1,0.000,0,0,
1788102583.105520,1,1,0.000,0,0,
1788102585.106966,1,1,0.000,0,0,
1788102587.108366,1,1,0.000,0,0,
1788102589.110341,1,1,0.000,0,0,
1788102591.112171,1,1,0.000,0,0,
1788102593.113653,1,1,0.000,0,0,
1788102595.114391,1,1,0.000,0,0,
1788102633.838380,1,1,0.001,0,0,
1788102635.839424,1,1,0.000,0,0,
1788102637.839819,1,1,0.000,0,0,
1788102641.574811,1,1,0.000,0,0,
1788102643.574972,1,1,0.000,0,0,
1788102645.576911,1,1,0.000,0,0,
1788102647.577569,1,1,0.000,0,0,
1788102649.579439,1,1,0.000,0,0,
1788102651.580039,1,1,0.000,0,0,
1788102653.581070,1,1,0.000,0,0,
1788102655.581542,1,1,0.000,0,0,
1788102657.582390,1,1,0.000,0,0,
1788102659.582591,1,1,0.000,0,0,
1788102661.584265,1,1,0.000,0,0,
1788102663.586696,1,1,0.000,0,0,
1788102665.587315,1,1,0.000,0,0,
1788102667.588340,1,1,0.000,0,0,
1788102669.589214,1,1,0.000,0,0,
1788102671.591226,1,1,0.000,0,0,
1788102675.331795,1,1,0.000,0,0,
1788102677.334084,1,1,0.000,0,0,
1788102679.334727,1,1,0.000,0,0,
1788102681.336636,1,1,0.000,0,0,
1788102683.338390,1,1,0.000,0,0,
1788102685.339422,1,1,0.000,0,0,
1788102687.340785,1,1,0.000,0,0,
1788102689.342194,1,1,0.000,0,0,
1788102691.343277,1,1,0.000,0,0,
1788102693.345088,1,1,0.000,0,0,
1788102695.346202,1,1,0.000,0,0,
1788102697.346995,1,1,0.000,0,0,
1788102699.348105,1,1,0.000,0,0,
1788102701.348518,1,1,0.000,0,0,
1788102703.349781,1,1,0.000,0,0,
1788102705.351793,1,1,0.000,0,0,
1788102709.098222,1,1,0.000,0,0,
1788102711.099998,1,1,0.000,0,0,
1788102713.101320,1,1,0.000,0,0,
1788102715.103121,1,1,0.000,0,0,
1788102717.104509,1,1,0.000,0,0,
1788102719.106693,1,1,0.000,0,0,
1788102721.107922,1,1,0.000,0,0,
1788102723.109589,1,1,0.000,0,0,
1788102725.111028,1,1,0.000,0,0,
1788102727.112802,1,1,0.000,0,0,
1788102729.114191,1,1,0.000,0,0,
1788102731.115824,1,1,0.000,0,0,
1788102733.117271,1,1,0.000,0,0,
1788102735.119105,1,1,0.000,0,0,
1788102737.120529,1,1,0.000,0,0,
1788102739.122499,1,1,0.000,0,0,
1788102741.124418,1,1,0.000,0,0,
1788102744.880422,1,1,0.000,0,0,
1788102746.881910,1,1,0.000,0,0,
1788102748.883649,1,1,0.000,0,0,
1788102750.883970,1,1,0.000,0,0,
1788102752.885825,1,1,0.000,0,0,
1788102754.887687,1,1,0.000,0,0,
1788102756.888606,1,1,0.000,0,0,
1788102758.889859,1,1,0.000,0,0,
1788102760.891502,1,1,0.000,0,0,
1788102762.892965,1,1,0.000,0,0,
1788102764.894352,1,1,0.000,0,0,
1788102766.896110,1,1,0.000,0,0,
1788102768.897526,1,1,0.000,0,0,
1788102770.898340,1,1,0.000,0,0,
1788102772.898970,1,1,0.000,0,0,
1788102774.899395,1,1,0.000,0,0,
1788102778.666245,1,1,0.000,0,0,
1788102780.668089,1,1,0.000,0,0,
1788102782.669239,1,1,0.000,0,0,
1788102784.670347,1,1,0.000,0,0,
1788102786.671007,1,1,0.000,0,0,
1788102788.672201,1,1,0.000,0,0,
1788102790.673916,1,1,1.831,1,0,
1788102792.675236,1,1,1.668,2,0,
1788102794.676751,1,1,1.668,0,1,DROP_INSTALLED
1788102796.677694,1,1,71.534,0,1,BLOCK_ACTIVE
1788102798.679967,1,1,20.580,0,1,BLOCK_ACTIVE
1788102800.680700,1,1,20.578,0,1,BLOCK_ACTIVE
1788102802.682631,1,1,20.584,0,1,BLOCK_ACTIVE
1788102804.683737,1,1,15.810,0,1,BLOCK_ACTIVE
1788102806.685333,1,1,0.001,0,1,BLOCK_ACTIVE
1788102808.687676,1,1,0.000,0,1,BLOCK_ACTIVE
1788102812.463432,1,1,0.000,0,1,BLOCK_ACTIVE
1788102814.464507,1,1,0.001,0,1,BLOCK_ACTIVE
1788102816.466489,1,1,0.000,0,0,
1788102818.467802,1,1,0.000,0,0,
1788102820.469469,1,1,0.004,0,0,
1788102822.470857,1,1,0.000,0,0,
1788102824.473416,1,1,0.000,0,0,
1788102826.474193,1,1,0.000,0,0,
1788102828.475490,1,1,0.000,0,0,
1788102830.476953,1,1,0.000,0,0,
1788102832.478459,1,1,0.000,0,0,
1788102834.480129,1,1,0.000,0,0,
1788102836.481655,1,1,0.000,0,0,
1788102838.483713,1,1,0.000,0,0,
1788102840.484747,1,1,0.000,0,0,
1788102842.486436,1,1,0.000,0,0,
1788102846.386044,1,1,0.000,0,0,
1788102848.388263,1,1,0.000,0,0,
1788102850.388448,1,1,0.000,0,0,
1788102852.390104,1,1,0.000,0,0,
1788102854.391099,1,1,0.000,0,0,
1788102856.393270,1,1,0.000,0,0,
1788102858.394714,1,1,0.000,0,0,
1788102860.394666,1,1,0.000,0,0,
1788102862.395978,1,1,0.000,0,0,
1788102864.397009,1,1,0.000,0,0,
1788102866.399334,1,1,0.000,0,0,
1788102868.401206,1,1,0.000,0,0,
1788102870.402838,1,1,0.000,0,0,
1788102872.402646,1,1,0.000,0,0,
1788102874.404994,1,1,0.000,0,0,
1788102876.405881,1,1,0.000,0,0,
1788102880.251883,1,1,0.000,0,0,
1788102882.252918,1,1,0.000,0,0,
1788102884.254049,1,1,0.000,0,0,
1788102886.254166,1,1,0.000,0,0,
1788102888.255566,1,1,0.000,0,0,
1788102890.256597,1,1,0.000,0,0,
1788102892.258050,1,1,0.000,0,0,
1788102894.261930,1,1,0.000,0,0,
1788102896.262316,1,1,0.000,0,0,
1788102898.262742,1,1,0.000,0,0,
1788102900.264021,1,1,0.000,0,0,
1788102902.265579,1,1,0.000,0,0,
1788102904.268486,1,1,0.000,0,0,
1788102906.269113,1,1,0.000,0,0,
1788102908.269999,1,1,0.000,0,0,
1788102910.271744,1,1,0.000,0,0,
1788102914.026216,1,1,0.000,0,0,
1788102916.027547,1,1,0.000,0,0,
1788102918.029174,1,1,0.000,0,0,
1788102920.029832,1,1,0.000,0,0,
1788102922.032129,1,1,0.000,0,0,
1788102924.033345,1,1,0.000,0,0,
1788102926.035473,1,1,0.000,0,0,
1788102928.036606,1,1,0.000,0,0,
1788102930.039245,1,1,0.000,0,0,
1788102932.039339,1,1,0.000,0,0,
1788102934.040255,1,1,0.000,0,0,
1788102936.042224,1,1,0.000,0,0,
1788102938.044677,1,1,0.000,0,0,
1788102940.045267,1,1,0.000,0,0,
1788102942.046419,1,1,0.000,0,0,
1788102944.048628,1,1,0.000,0,0,
1788102947.944766,1,1,0.000,0,0,
1788102949.945926,1,1,0.000,0,0,
1788102951.946906,1,1,0.000,0,0,
1788102953.948416,1,1,0.000,0,0,
1788102955.948960,1,1,0.000,0,0,
1788102957.950165,1,1,0.000,0,0,
1788102959.952305,1,1,0.000,0,0,
1788102961.953998,1,1,0.000,0,0,
1788102963.955013,1,1,0.000,0,0,
1788102965.956409,1,1,0.000,0,0,
1788102967.957935,1,1,0.000,0,0,
1788102969.958798,1,1,0.000,0,0,
1788102971.959419,1,1,0.000,0,0,
1788102973.962782,1,1,0.000,0,0,
1788102975.964130,1,1,0.000,0,0,
1788102977.966120,1,1,0.000,0,0,
1788102981.803026,1,1,0.000,0,0,
1788102983.805184,1,1,0.000,0,0,
1788102985.806617,1,1,0.000,0,0,
1788102987.807668,1,1,0.000,0,0,
1788102989.809704,1,1,0.000,0,0,
1788102991.811687,1,1,0.000,0,0,
1788102993.813835,1,1,0.000,0,0,
1788102995.815187,1,1,0.000,0,0,
1788102997.816640,1,1,0.000,0,0,
1788102999.817909,1,1,0.000,0,0,
1788103001.818694,1,1,0.000,0,0,
1788103003.819899,1,1,0.000,0,0,
1788103005.820553,1,1,0.000,0,0,
1788103007.821822,1,1,0.000,0,0,
1788103009.825208,1,1,0.000,0,0,
1788103011.825700,1,1,0.000,0,0,
1788103015.741091,1,1,0.000,0,0,
1788103017.742961,1,1,0.000,0,0,
1788103019.745815,1,1,0.000,0,0,
1788103021.746340,1,1,0.000,0,0,
1788103023.749144,1,1,0.000,0,0,
1788103025.749731,1,1,0.000,0,0,
1788103027.751189,1,1,0.000,0,0,
1788103029.751979,1,1,0.000,0,0,
1788103031.752589,1,1,0.000,0,0,
1788103033.753716,1,1,0.000,0,0,
1788103035.755049,1,1,0.000,0,0,
1788103037.756688,1,1,0.000,0,0,
1788103039.758398,1,1,0.000,0,0,
1788103041.758586,1,1,0.000,0,0,
1788103043.760779,1,1,0.000,0,0,
1788103045.761253,1,1,0.000,0,0,
1788103047.762398,1,1,0.000,0,0,
1788103051.857964,1,1,0.000,0,0,
1788103053.880880,1,1,0.000,0,0,
1788103055.881762,1,1,0.000,0,0,
1788103057.883034,1,1,0.000,0,0,
1788103059.884378,1,1,0.000,0,0,
1788103061.885388,1,1,0.000,0,0,
1788103063.887109,1,1,0.000,0,0,
1788103065.888011,1,1,0.000,0,0,
1788103067.889435,1,1,0.000,0,0,
1788103069.890743,1,1,0.000,0,0,
1788103071.892023,1,1,0.000,0,0,
1788103073.892787,1,1,0.000,0,0,
1788103075.894734,1,1,0.000,0,0,
1788103077.896446,1,1,0.000,0,0,
1788103079.899505,1,1,0.000,0,0,
1788103081.901275,1,1,0.000,0,0,
1788103085.914135,1,1,0.000,0,0,
1788103087.915894,1,1,0.000,0,0,
1788103089.917405,1,1,0.000,0,0,
1788103091.918311,1,1,0.000,0,0,
1788103093.919308,1,1,0.000,0,0,
1788103095.920989,1,1,0.000,0,0,
1788103097.923314,1,1,0.000,0,0,
1788103099.923847,1,1,0.000,0,0,
