scenario,event,timestamp,attack_relative_s
E2,attack_start,1788101638.371871,0.0
E2,attack_end,1788101653.371871,15.0
E3,attack_start,1788102789.1276584,0.0
E3,drop_installed,1788102794.676751,5.549092531204224
E3,attack_end,1788102804.1290944,15.001435995101929
