timestamp,dpid,port,rx_mbps,hits,blocked,action
1787842376.656987,1,1,0.001,0,0,
1787842376.656987,1,2,0.001,0,0,
1787842376.656987,1,3,0.001,0,0,
1787842378.659249,1,1,0.000,0,0,
1787842378.659249,1,2,0.000,0,0,
1787842378.659249,1,3,0.000,0,0,
1787842380.660299,1,1,0.000,0,0,
1787842380.660299,1,2,0.000,0,0,
1787842380.660299,1,3,0.000,0,0,
1787842382.661659,1,1,0.000,0,0,
1787842382.661659,1,2,0.000,0,0,
1787842382.661659,1,3,0.000,0,0,
1787842384.661783,1,1,0.000,0,0,
1787842384.661783,1,2,0.000,0,0,
1787842384.661783,1,3,0.000,0,0,
1787842386.662855,1,1,0.000,0,0,
1787842386.662855,1,2,0.000,0,0,
1787842386.662855,1,3,0.000,0,0,
1787842388.663413,1,1,0.000,0,0,
1787842388.663413,1,2,0.000,0,0,
1787842388.663413,1,3,0.000,0,0,
1787842390.666209,1,1,0.000,0,0,
1787842390.666209,1,2,0.000,0,0,
1787842390.666209,1,3,0.000,0,0,
1787842392.667742,1,1,0.000,0,0,
1787842392.667742,1,2,0.000,0,0,
1787842392.667742,1,3,0.000,0,0,
1787842394.668982,1,1,0.000,0,0,
1787842394.668982,1,2,0.000,0,0,
1787842394.668982,1,3,0.000,0,0,
1787842396.669946,1,1,0.000,0,0,
1787842396.669946,1,2,0.000,0,0,
1787842396.669946,1,3,0.000,0,0,
1787842398.671545,1,1,0.000,0,0,
1787842398.671545,1,2,0.000,0,0,
1787842398.671545,1,3,0.000,0,0,
1787842400.672993,1,1,0.000,0,0,
1787842400.672993,1,2,0.000,0,0,
1787842400.672993,1,3,0.000,0,0,
1787842402.675468,1,1,0.000,0,0,
1787842402.675468,1,2,0.000,0,0,
1787842402.675468,1,3,0.000,0,0,
1787842404.676146,1,1,0.000,0,0,
1787842404.676146,1,2,0.000,0,0,
1787842404.676146,1,3,0.000,0,0,
1787842408.508213,1,1,0.000,0,0,
1787842408.508213,1,2,0.000,0,0,
1787842408.508213,1,3,0.000,0,0,
1787842410.508859,1,1,0.000,0,0,
1787842410.508859,1,2,0.000,0,0,
1787842410.508859,1,3,0.000,0,0,
1787842412.510149,1,1,0.000,0,0,
1787842412.510149,1,2,0.000,0,0,
1787842412.510149,1,3,0.000,0,0,
1787842414.511321,1,1,0.000,0,0,
1787842414.511321,1,2,0.000,0,0,
1787842414.511321,1,3,0.000,0,0,
1787842416.512578,1,1,0.000,0,0,
1787842416.512578,1,2,0.000,0,0,
1787842416.512578,1,3,0.000,0,0,
1787842418.514263,1,1,0.000,0,0,
1787842418.514263,1,2,0.000,0,0,
1787842418.514263,1,3,0.000,0,0,
1787842420.514096,1,1,0.000,0,0,
1787842420.514096,1,2,0.000,0,0,
1787842420.514096,1,3,0.000,0,0,
1787842422.515047,1,1,0.000,0,0,
1787842422.515047,1,2,0.000,0,0,
1787842422.515047,1,3,0.000,0,0,
1787842424.518049,1,1,0.000,0,0,
1787842424.518049,1,2,0.000,0,0,
1787842424.518049,1,3,0.000,0,0,
1787842426.517807,1,1,0.000,0,0,
1787842426.517807,1,2,0.000,0,0,
1787842426.517807,1,3,0.000,0,0,
1787842428.519755,1,1,0.000,0,0,
1787842428.519755,1,2,0.000,0,0,
1787842428.519755,1,3,0.000,0,0,
1787842430.521299,1,1,0.000,0,0,
1787842430.521299,1,2,0.000,0,0,
1787842430.521299,1,3,0.000,0,0,
1787842432.523259,1,1,0.000,0,0,
1787842432.523259,1,2,0.000,0,0,
1787842432.523259,1,3,0.000,0,0,
1787842434.523063,1,1,0.000,0,0,
1787842434.523063,1,2,0.000,0,0,
1787842434.523063,1,3,0.000,0,0,
1787842436.524954,1,1,0.000,0,0,
1787842436.524954,1,2,0.000,0,0,
1787842436.524954,1,3,0.000,0,0,
1787842438.526726,1,1,0.000,0,0,
1787842438.526726,1,2,0.000,0,0,
1787842438.526726,1,3,0.000,0,0,
1787842442.470124,1,1,2.691,0,0,
1787842442.470124,1,2,0.000,0,0,
1787842442.470124,1,3,0.000,0,0,
1787842444.471110,1,1,4.998,0,0,
1787842444.471110,1,2,0.000,0,0,
1787842444.471110,1,3,0.000,0,0,
1787842446.472059,1,1,4.998,0,0,
1787842446.472059,1,2,0.000,0,0,
1787842446.472059,1,3,0.000,0,0,
1787842448.473373,1,1,5.004,0,0,
1787842448.473373,1,2,0.000,0,0,
1787842448.473373,1,3,0.000,0,0,
1787842450.474303,1,1,4.998,0,0,
1787842450.474303,1,2,0.000,0,0,
1787842450.474303,1,3,0.000,0,0,
1787842452.475818,1,1,5.003,0,0,
1787842452.475818,1,2,0.000,0,0,
1787842452.475818,1,3,0.000,0,0,
1787842454.476542,1,1,2.589,0,0,
1787842454.476542,1,2,0.000,0,0,
1787842454.476542,1,3,0.000,0,0,
1787842456.478429,1,1,0.000,0,0,
1787842456.478429,1,2,0.000,0,0,
1787842456.478429,1,3,0.000,0,0,
1787842458.479559,1,1,0.000,0,0,
1787842458.479559,1,2,0.000,0,0,
1787842458.479559,1,3,0.000,0,0,
1787842460.480768,1,1,0.000,0,0,
1787842460.480768,1,2,0.000,0,0,
1787842460.480768,1,3,0.000,0,0,
1787842462.482080,1,1,0.000,0,0,
1787842462.482080,1,2,0.000,0,0,
1787842462.482080,1,3,0.000,0,0,
1787842464.483553,1,1,0.000,0,0,
1787842464.483553,1,2,0.000,0,0,
1787842464.483553,1,3,0.000,0,0,
1787842466.485443,1,1,0.000,0,0,
1787842466.485443,1,2,0.000,0,0,
1787842466.485443,1,3,0.000,0,0,
1787842468.486545,1,1,0.000,0,0,
1787842468.486545,1,2,0.000,0,0,
1787842468.486545,1,3,0.000,0,0,
1787842470.488305,1,1,0.000,0,0,
1787842470.488305,1,2,0.000,0,0,
